Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D
1999,0.48,0.64,0.32,0.32,0.26,0.36,0.38,0.31,0.39,0.34,0.37,0.41,0.38
2000,0.25,0.56,0.55,0.57,0.36,0.4,0.39,0.42,0.39,0.26,0.3,0.28,0.39
2001,0.45,0.44,0.56,0.5,0.58,0.52,0.59,0.49,0.52,0.5,0.72,0.56,0.54
2002,0.77,0.79,0.88,0.58,0.64,0.53,0.62,0.54,0.64,0.54,0.59,0.44,0.63
2003,0.74,0.58,0.6,0.55,0.61,0.48,0.58,0.65,0.62,0.73,0.53,0.75,0.62
2004,0.58,0.73,0.63,0.61,0.37,0.44,0.26,0.45,0.5,0.61,0.73,0.51,0.53
2005,0.75,0.6,0.74,0.67,0.64,0.65,0.61,0.6,0.72,0.76,0.74,0.68,0.68
2006,0.56,0.74,0.63,0.47,0.48,0.66,0.54,0.71,0.66,0.7,0.74,0.79,0.64
2007,1.02,0.7,0.72,0.76,0.69,0.61,0.6,0.6,0.6,0.59,0.59,0.5,0.66
2008,0.3,0.38,0.75,0.54,0.5,0.49,0.6,0.46,0.61,0.68,0.68,0.54,0.54
2009,0.65,0.52,0.53,0.61,0.65,0.64,0.74,0.69,0.72,0.66,0.79,0.67,0.66
2010,0.75,0.84,0.92,0.85,0.75,0.68,0.63,0.67,0.63,0.71,0.81,0.46,0.73
2011,0.53,0.48,0.66,0.65,0.53,0.62,0.7,0.75,0.56,0.66,0.59,0.6,0.61
2012,0.47,0.49,0.57,0.73,0.79,0.64,0.59,0.66,0.73,0.8,0.79,0.53,0.65
2013,0.71,0.62,0.67,0.53,0.6,0.7,0.6,0.71,0.77,0.7,0.83,0.7,0.68
2014,0.77,0.55,0.78,0.81,0.87,0.67,0.58,0.83,0.88,0.81,0.67,0.78,0.75
2015,0.87,0.9,0.96,0.75,0.8,0.81,0.73,0.79,0.84,1.08,1.06,1.17,0.9
2016,1.18,1.37,1.35,1.09,0.96,0.81,0.84,1.02,0.9,0.88,0.92,0.86,1.02
2017,1.02,1.14,1.17,0.94,0.91,0.71,0.82,0.87,0.75,0.89,0.88,0.93,0.92
2018,0.82,0.85,0.88,0.89,0.81,0.77,0.83,0.78,0.81,1.01,0.84,0.93,0.85
2019,0.93,0.95,1.17,1.01,0.86,0.9,0.93,0.95,0.93,0.99,0.99,1.12,0.98
2020,1.18,1.24,1.18,1.12,0.99,0.91,0.89,0.86,0.96,0.87,1.1,0.79,1.01
2021,0.81,0.65,0.89,0.76,0.79,0.84,0.92,0.81,0.92,0.99,0.93,0.88,0.85
2022,0.91,0.89,1.05,0.83,0.84,0.92,0.94,0.95,0.89,0.97,0.74,0.8,0.89
2023,0.88,0.98,1.23,0.99,0.94,1.08,1.19,1.19,1.48,1.34,1.42,1.36,1.17
